Date,Estimate (%),95% CI (%),Sample Size,Cases
2013-01,38.6,36.2 to 41.0,3605,NR
2013-02,40.1,37.6 to 42.6,3605,NR
2013-03,40.8,38.1 to 43.5,3605,NR
2013-04,40.8,38.1 to 43.5,3605,NR
2013-05,40.8,38.1 to 43.5,3605,NR
2013-06,NR,NR,NR,NR
2013-07,NR,NR,3605,NR
2013-08,0.9,0.5 to 1.3,3605,NR
2013-09,6.7,5.5 to 7.9,3605,NR
2013-10,22.8,20.8 to 24.8,3605,NR
2013-11,33.3,30.9 to 35.7,3605,NR
2013-12,35.9,33.5 to 38.3,3605,NR
2014-01,39.8,36.9 to 42.7,3755,NR
2014-02,40.7,37.8 to 43.6,3755,NR
2014-03,41.7,38.8 to 44.6,3755,NR
2014-04,42,39.1 to 44.9,3755,NR
2014-05,42,39.1 to 44.9,3755,NR
2014-06,NR,NR,NR,NR
2014-07,NR,NR ,3755,NR
2014-08,1.2,0.6 to 1.8,3755,NR
2014-09,6.8,5.4 to 8.2,3755,NR
2014-10,24,21.8 to 26.2,3755,NR
2014-11,33.8,31.3 to 36.3,3755,NR
2014-12,37,34.3 to 39.7,3755,NR
2015-01,36.6,34.1 to 39.1,3147,NR
2015-02,37.9,35.2 to 40.6,3147,NR
2015-03,38.8,36.1 to 41.5,3147,NR
2015-04,39,36.3 to 41.7,3147,NR
2015-05,39.2,36.5 to 41.9,3147,NR
2015-06,NR,NR,NR,NR
2015-07,NR,NR,3147,NR
2015-08,0.7,0.3 to 1.1,3147,NR
2015-09,6.1,4.9 to 7.3,3147,NR
2015-10,22.1,20.1 to 24.1,3147,NR
2015-11,30.9,28.4 to 33.4,3147,NR
2015-12,34.6,32.1 to 37.1,3147,NR
2016-01,36.8,34.1 to 39.5,2834,NR
2016-02,39.7,36.8 to 42.6,2834,NR
2016-03,40.2,37.3 to 43.1,2834,NR
2016-04,40.3,37.4 to 43.2,2834,NR
2016-05,42.3,38.8 to 45.8,2834,NR
2016-06,NR,NR,NR,NR
2016-07,NR,NR,2834,NR
2016-08,1.4,0.8 to 2.0,2834,NR
2016-09,7.1,5.9 to 8.3,2834,NR
2016-10,22.9,20.7 to 25.1,2834,NR
2016-11,31.5,29.0 to 34.0,2834,NR
2016-12,34.6,32.1 to 37.1,2834,NR
2017-01,32.3,30.1 to 34.5,3366,NR
2017-02,34.4,32.0 to 36.8,3366,NR
2017-03,34.8,32.4 to 37.2,3366,NR
2017-04,35.3,32.8 to 37.8,3366,NR
2017-05,35.3,32.8 to 37.8,3366,NR
2017-06,NR,NR,NR,NR
2017-07,NR,NR,3366,NR
2017-08,1.4,0.8 to 2.0,3366,NR
2017-09,6.3,5.1 to 7.5,3366,NR
2017-10,19.1,17.3 to 20.9,3366,NR
2017-11,26.4,24.4 to 28.4,3366,NR
2017-12,29.8,27.6 to 32.0,3366,NR
