"review.tm","Unnamed..0","drugName","condition","review","rating","date","usefulCount","score","positive","negative"
"absolutely worst time birth control first original seasonique switch lo seasonique original worst cramping moodiness bleeding ever thought lower strength perfect pill boy ever wrong havent regular period yet taking medication year bleed average days periodfree one week fullbrown cycle five days month periodfree thing sounded good especially usually miss work class horrible periods counterproductive im going try implant go back regular pill",43617,"LoSeasonique","Birth Control","""I have had the absolutely worst time with this birth control. At first, I was on the original Seasonique - I had to switch to the Lo Seasonique because with the original, I had the worst cramping, moodiness, bleeding, ever. I thought the lower strength would be the perfect pill for me. Boy, was I ever wrong. I haven&#039;t had a regular period yet, and I have been taking this medication for over a year. I bleed an average of 21 days - I am period-free one week, and then have a full-brown cycle for five days. The 3-month period-free thing sounded so good - especially because I usually miss work or class because of horrible periods, but this was very counterproductive. I&#039;m going to try the implant or go back to the regular pill.""",2,"May 7, 2015",2,-6,3,9
"almost stopped taking first couple weeks pretty bad really anxious short hungry decided try taking night instead morning thats sisters doctor told difference just started nd month feel normal dont know take night body used either way good far gain pounds definitely like said really hungry",131462,"Generess Fe","Birth Control","""I almost stopped taking this because the first couple of weeks were pretty bad. I was really down, anxious, short, and hungry.  I decided to try taking it at night instead of the morning because that&#039;s what my sister&#039;s doctor told her to do. What a difference. I just started my 2nd month and feel normal again. I don&#039;t know if it&#039;s because I take it at night or because my body is used to it. Either way it&#039;s good so far. I did gain 5 pounds but it&#039;s definitely because like I said, I was really hungry.""",7,"June 3, 2013",10,2,4,2
"awful experience pill switched months ago since ive gained lbs given terrible acne headaches im waiting different pill now cant wait stuff everyone different reactions different bcs highly suggest using different one can",5288,"Cryselle","Birth Control","""I have had an awful experience on this pill. I switched to it 9 months ago, and since then I&#039;ve gained about 15 lbs. It&#039;s given me terrible acne and headaches. I&#039;m waiting for a different pill now, I can&#039;t wait to be off of this stuff. Everyone has different reactions to different BC&#039;s, but I would highly suggest using a different one if you can.""",1,"August 23, 2016",6,-2,1,3
"bc around three years now",131374,"Generess Fe","Birth Control","""I have been on this BC for around three years now. 

Going on Generess FE was an amazing decision, though adjustment was tough at first. I&#039;m actually on the generic version now since they released it, but my benefits are still there. I previously would have insane mood swings in the week leading up to my period--I&#039;m talking sporadic crying and feelings of anxiety. This went away when I started this medicine. My period lasts barely more than one or two days and I don&#039;t need to buy more than the &quot;lite&quot; tampons. Periods now are completely painless and barely more than a slight inconvenience. My skin is clearer than ever, and this has worked wonders for me. I&#039;m not pregnant, and I&#039;ve reaped all the benefits of this medicine!""",10,"February 21, 2016",4,0,0,0
"began taking cryselle little two years ago began taking fix irregular periods first didnt notice side effects lately emotional roller coaster constantly going happy sad within minutes also noticed feeling depressed constantly people asked numerous times something wrong due mood swings dont recommend pill already switched pills",5336,"Cryselle","Birth Control","""I began taking Cryselle a little over two years ago. I began taking it to fix irregular periods. At first, I didn&#039;t notice any side effects but here lately I have been on an emotional roller coaster. I am constantly going from happy to sad within minutes. I have also noticed that I have been feeling depressed constantly. People have asked me numerous times if something is wrong due to my mood swings. I don&#039;t recommend this pill at all! I have already switched pills..""",3,"August 12, 2015",4,-2,2,4
"beginning take medication didnt notice bad side effects weeks began taking get heavy periods throughout entire month bad cramps weight gain like crazy making hair fall also mood swings place eat like im pregnant tired time havent breast growth pain acne horrible im pregnant pill worked im going stop taking",43137,"Sronyx","Birth Control","""At the beginning of take this medication I didn&#039;t notice any bad side effects until a few weeks after I began taking it. I would get heavy periods throughout the entire month, bad cramps, weight gain like crazy, and it&#039;s making my hair fall out. Also my mood swings have been all over the place. I would eat like I&#039;m pregnant and be tired all the time. I haven&#039;t had any breast growth or pain, but my acne is horrible. I&#039;m not pregnant so the pill worked there, but I&#039;m going to stop taking it.""",10,"December 22, 2014",13,-3,4,7
"beyaz good first year continued take libido short none grew emotional started anxiety problems will discontinuing birth control bcz starting affect marriage",6665,"Beyaz","Birth Control","""Beyaz was good my first year, but as I continued to take it my libido short to none. I grew emotional, started having anxiety problems. I will be discontinuing this birth control bcz it&#039;s starting to affect my marriage.""",4,"October 8, 2015",1,-1,1,2
"beyaz one month switch made tired nauseous gave worst headaches last day advil take pain away maybe waited whole months wouldve straightened just couldnt deal awful headaches like everyone says everyones body different pro mild acne seemed clear",6747,"Beyaz","Birth Control","""I was on Beyaz for one month and had to switch. It made me tired and nauseous. It gave me the WORST headaches. They would last all day and Advil did not take the pain away. Maybe if I waited the whole 3 months, it would&#039;ve straightened out but I just couldn&#039;t deal with the awful headaches. But like everyone says, everyone&#039;s body is different. Only pro: my mild acne seemed to clear up.""",3,"August 12, 2013",22,-4,2,6
"beyaz two years never noticed negative side effects cramps period length reduced significantly loved pill definitely recommend",6686,"Beyaz","Birth Control","""I have been on Beyaz for about two years and never noticed any negative side effects. My cramps and period length were reduced significantly and I have loved this pill. Would definitely recommend.""",10,"August 28, 2013",18,1,2,1
"birth control almost years now worked wonders even though gain lbs mainly way eat acne cleared lot works definitely birth control active lot pregnant im also moody times dont want switch pills feel side affects light periods well always time",124887,"Tri-Previfem","Birth Control","""I have been on this birth control for almost 2 years now. It has worked wonders even though I did gain 30 lbs mainly because of the way that I eat. My acne has cleared a lot and it works definitely for birth control. I am active a lot and not pregnant. I&#039;m also moody at times but I don&#039;t want to switch pills because I feel no side affects. Light periods as well and always on time.""",8,"August 6, 2015",7,5,6,1
"birth control definitely job making sure dont get pregnant thats gave stars however experiencing bad hair loss lifeless hair narrowed pill noticed women mention thing also get motion sickness vehicles driving gained pounds since getting medication diet expercise regiment changed skin clear begin end getting acne reclipsen except pimples right period periods average pms seems worse used will making appointment switch birth control hope helps someone",37750,"Reclipsen","Birth Control","""The birth control is definitely doing its job at making sure I don&#039;t get pregnant, so that&#039;s why I gave it some stars.  
However, I have been experiencing BAD hair loss and lifeless hair which I have narrowed down to this pill, and have noticed other women mention the same thing. 
I also get motion sickness in vehicles if I am not driving.  I have gained 10 pounds since getting on this medication and my diet and expercise regiment has not changed.  My skin was clear to begin with, and I did not end up getting acne from Reclipsen, except for a few pimples right before my period.  My periods are average.  My PMS seems worse than it used to be.  I will be making an appointment to switch my birth control.  I hope this helps someone.""",5,"April 28, 2015",9,-2,3,5
"birth control purposes never gotten pregnant acne purposes face used extremely broken amp definitely helped however gained pounds year boobs grew plus amp started going depression amp feeling like going insane needless say switched",111754,"Gianvi","Birth Control","""For birth control purposes, never gotten pregnant. For acne purposes, my face used to be extremely broken out &amp; this definitely helped. However, I gained about 10-15 pounds with the year I was on it (my boobs grew so that was a plus) &amp; I started going into a depression &amp; feeling like I was going insane. Needless to say, I switched.""",4,"August 16, 2016",1,-1,3,4
"birth control really helped control periods far light less painful started pill side now takes just miracle get turned never problem",131399,"Generess Fe","Birth Control","""This birth control really helped control my periods they are far more light and less painful than before I started this pill. The down side is now it takes just about a miracle to get me turned on, which was never a problem before.""",8,"June 1, 2014",6,0,2,2
"birth control weeks ive acne chin like havent years constantly starving point sickness well extremely fatigued terrible going give another month see levels highly doubt will",37904,"Reclipsen","Birth Control","""Been on this birth control for 3 weeks and I&#039;ve had acne on my chin like I haven&#039;t had in years and I am constantly starving to the point of sickness as well as extremely fatigued. This is terrible. Going to give it another month to see if it levels out but I highly doubt it will.""",6,"January 9, 2014",12,-2,2,4
"birth control well keeping getting pregnant im third month taking pill ive bloated week half now lost appetite mood swings head aches",124818,"Tri-Previfem","Birth Control","""The birth control does well with keeping you from getting pregnant. But I&#039;m on my third month of taking the pill, and I&#039;ve been bloated for about a week and a half now. I lost my appetite, mood swings, and head aches.""",2,"January 3, 2016",5,-2,1,3
"birth control years sprintec changed triprevifem didnt notice changes body two first month started taking pill crazy emotions uncontrollable scary skin breaking dont like triprevifem keep getting pregnant skin still breaks dont know thats just pill never really got period crampssymptoms pill now periods much lighter shorter though boobs grew half size weight gain libido either boyfriend hates pill best way avoid pregnancy wouldnt recommend unless necessary",124803,"Tri-Previfem","Birth Control","""I have been on birth control for over 3 years.  I too was on Sprintec until they changed it to Tri-Previfem - didn&#039;t notice any changes with my body between the two.  The first month I started taking the pill was crazy, my emotions were uncontrollable (it was scary) and my skin was breaking out.  I don&#039;t like Tri-previfem but it does keep me from getting pregnant.  Skin still breaks out but I don&#039;t know if that&#039;s just me or the pill doing it.  I never really got period cramps/symptoms before the pill, now I do.  Periods are much lighter and shorter though.  My boobs grew about half a size.  No weight gain.  No libido either - my boyfriend hates it but the pill is the best way to avoid pregnancy.  Wouldn&#039;t recommend unless necessary.""",3,"April 30, 2016",0,0,5,5
"birth son june started lo seasonique birth son ortho tricyclen loved problems stayed lo seasonique one month due flow like heavy period almost every day basis stopped two weeks second month started heavily severe abdominal pain cramping reason wanted try loseasonique quotfewer periodsquot purposes trying loseasonique three months one pack discontinued use will going back ortho tri cyclen",43691,"LoSeasonique","Birth Control","""After the birth of my son in June 2011, I started Lo Seasonique. Before the birth of my son, I was on Ortho Tri-Cyclen and loved it with no problems. I only stayed on Lo Seasonique for one month due to a flow like a heavy period on an almost every day basis. It stopped for two weeks on the second month, and started again very heavily with severe abdominal pain and cramping. The only reason I wanted to try LoSeasonique was for the &quot;fewer periods&quot; purposes. After trying LoSeasonique for a three months (one pack), I have discontinued the use and will be going back to Ortho Tri Cyclen!""",2,"October 10, 2011",0,-3,2,5
"can say done nothing good",111722,"Gianvi","Birth Control","""All that I can say is that it has done nothing but good for me""",10,"December 6, 2017",0,1,1,0
"cant rate nothing works perfectly best birth control far years old birth control pills previously worked nearly well cryselle developed taking birth control pills many ovarian cysts led spotting constant pain also rarely got period even taking placebo pills doctor switched regularly get period now little pain best thing happened",5354,"Cryselle","Birth Control","""I can&#039;t rate this a 10, because nothing works perfectly. But this is the best birth control that I have been on this far. I am 26 years old and I have been on 2 birth control pills previously that had not worked out nearly as well as Cryselle. I developed as I was taking the other birth control pills, many ovarian cysts which led to spotting and constant pain. I also rarely got my period, even while taking the placebo pills. My doctor switched me to this and I regularly get a period now and have little to no pain. For me, this is the best thing that has happened to me.""",9,"May 2, 2014",28,5,7,2
"case convenience periods year outweighs inconvenience decreased sex drive",43624,"LoSeasonique","Birth Control","""In my case, the convenience of only having 4 periods a year outweighs the inconvenience of having decreased sex drive.""",9,"July 23, 2012",3,0,1,1
